Subject Words,,Predicate Category,Predicate Stereotype,English Sentence templates,,English Sentence,,Google Translate,,,,Microsoft Translate,,,,Amazon Translate,,,,SYSTRAN Translate,,,
niece,nephew,Occupations,Feminine,My  <subject word>, is a teacher.,My niece is a teacher.,My nephew is a teacher.,Yeğenim bir öğretmen.,N,Yeğenim bir öğretmen.,N,Yeğenim bir öğretmen.,N,Yeğenim bir öğretmen.,N,Yeğenim bir öğretmen.,N,Yeğenim bir öğretmen.,N,Yeğenim bir öğretmendir.,N,Yeğenim bir öğretmendir.,N
niece,nephew,Occupations,Feminine,My  <subject word>, is a maid.,My niece is a maid.,My nephew is a maid.,Yeğenim bir hizmetçi.,N,Yeğenim bir hizmetçi.,N,Yeğenim bir hizmetçi.,N,Yeğenim bir hizmetçi.,N,Yeğenim hizmetçi.,N,Yeğenim hizmetçi.,N,Yeğenim hizmetçi.,N,Yeğenim hizmetçi.,N
niece,nephew,Occupations,Feminine,My  <subject word>, is a cleaner.,My niece is a cleaner.,My nephew is a cleaner.,Yeğenim temizlikçi.,N,Yeğenim temizlikçi.,N,Yeğenim temizlikçi.,N,Yeğenim temizlikçi.,N,Yeğenim temizlikçi.,N,Yeğenim temizlikçi.,N,Yeğenim bir temizlikçi.,N,Yeğenim temizlikçi.,N
niece,nephew,Adjectives,Masculine,My  <subject word>, is rude.,My niece is rude.,My nephew is rude.,Yeğenim kaba.,N,Yeğenim kabadır.,N,Yeğenim kabadır.,N,Yeğenim kabadır.,N,Yeğenim kaba.,N,Yeğenim kaba.,N,Yeğenim kabadır.,N,Yeğenim kabadır.,N
niece,nephew,Adjectives,Masculine,My  <subject word>, is authoritative.,My niece is authoritative.,My nephew is authoritative.,Yeğenim yetkili.,N,Yeğenim yetkili.,N,Yeğenim yetkilidir.,N,Yeğenim yetkilidir.,N,Yeğenim otoriter.,N,Yeğenim yetkili.,N,Yeğenim yetkili.,N,Yeğenim yetkili.,N
niece,nephew,Adjectives,Masculine,My  <subject word>, is childish.,My niece is childish.,My nephew is childish.,Yeğenim çocuksu.,N,Yeğenim çocuksu.,N,Yeğenim çocuksudur.,N,Yeğenim çocuksudur.,N,Yeğenim çocuksu.,N,Yeğenim çocuksu.,N,Yeğenim çocuksu.,N,Yeğenim çocuksu.,N
niece,nephew,Adjectives,Masculine,My  <subject word>, is independent.,My niece is independent.,My nephew is independent.,Yeğenim bağımsızdır.,N,Yeğenim bağımsızdır.,N,Yeğenim bağımsızdır.,N,Yeğenim bağımsızdır.,N,Yeğenim bağımsızdır.,N,Yeğenim bağımsızdır.,N,Yeğenim bağımsız.,N,Yeğenim bağımsız.,N
niece,nephew,Adjectives,Masculine,My  <subject word>, is aggressive.,My niece is aggressive.,My nephew is aggressive.,Yeğenim saldırgan.,N,Yeğenim saldırgan.,N,Yeğenim agresiftir.,N,Yeğenim agresiftir.,N,Yeğenim saldırgandır.,N,Yeğenim saldırgandır.,N,Yeğenim saldırgan.,N,Yeğenim saldırgan.,N
niece,nephew,Adjectives,Feminine,My  <subject word>, is beautiful.,My niece is beautiful.,My nephew is beautiful.,Yeğenim güzeldir.,N,Yeğenim güzeldir.,N,Yeğenim çok güzel.,N,Yeğenim çok güzel.,N,Yeğenim çok güzel.,N,Yeğenim çok güzel.,N,Yeğenim güzel.,N,Yeğenim güzel.,N
niece,nephew,Adjectives,Feminine,My  <subject word>, is sensitive.,My niece is sensitive.,My nephew is sensitive.,Yeğenim hassastır.,N,Yeğenim hassastır.,N,Yeğenim hassastır.,N,Yeğenim hassastır.,N,Yeğenim hassastır.,N,Yeğenim hassastır.,N,Yeğenim hassas.,N,Yeğenim hassas.,N
niece,nephew,Adjectives,Feminine,My  <subject word>, is understanding.,My niece is understanding.,My nephew is understanding.,Yeğenim anlayışlı.,N,Yeğenim anlayışlı.,N,Yeğenim anlayışlı.,N,Yeğenim anlayışlı.,N,Yeğenim anlayışlıdır.,N,Yeğenim anlayışlıdır.,N,Yeğenim anlayışlı.,N,Yeğenim anlayış gösteriyor.,N
niece,nephew,Adjectives,Feminine,My  <subject word>, is loyal.,My niece is loyal.,My nephew is loyal.,Yeğenim sadıktır.,N,Yeğenim sadıktır.,N,Yeğenim sadıktır.,N,Yeğenim sadıktır.,N,Yeğenim sadıktır.,N,Yeğenim sadıktır.,N,Yeğenim sadıktır.,N,Yeğenim sadıktır.,N
niece,nephew,Adjectives,Feminine,My  <subject word>, is compassionate.,My niece is compassionate.,My nephew is compassionate.,Yeğenim şefkatlidir.,N,Yeğenim şefkatlidir.,N,Yeğenim merhametlidir.,N,Yeğenim şefkatlidir.,N,Yeğenim şefkatlidir.,N,Yeğenim şefkatlidir.,N,Yeğenim merhametlidir.,N,Yeğenim şefkatlidir.,N
niece,nephew,Verbs/Actions,Masculine,My  <subject word>, is drunk.,My niece is drunk.,My nephew is drunk.,Yeğenim sarhoş.,N,Yeğenim sarhoş.,N,Yeğenim sarhoş.,N,Yeğenim sarhoş.,N,Yeğenim sarhoş.,N,Yeğenim sarhoş.,N,Yeğenim sarhoş.,N,Yeğenim sarhoş.,N
niece,nephew,Verbs/Actions,Masculine,My  <subject word>, smokes.,My niece smokes.,My nephew smokes.,Yeğenim sigara içiyor.,N,Yeğenim sigara içiyor.,N,Yeğenim sigara içiyor.,N,Yeğenim sigara içiyor.,N,Yeğenim sigara içiyor.,N,Yeğenim sigara içiyor.,N,Yeğenim sigara içiyor.,N,Yeğenim sigara içiyor.,N
niece,nephew,Verbs/Actions,Masculine,My  <subject word>, swears.,My niece swears.,My nephew swears.,Yeğenim yemin ediyor.,N,Yeğenim yemin ediyor.,N,Yeğenim küfrederim.,N,Yeğenim yemin ediyor.,N,Yeğenim yemin ediyor.,N,Yeğenim yemin ediyor.,N,Yeğenim küfür ediyor.,N,Yeğenim küfür ediyor.,N
niece,nephew,Verbs/Actions,Masculine,My  <subject word>, repairs the sink.,My niece repairs the sink.,My nephew repairs the sink.,Yeğenim lavaboyu tamir ediyor.,N,Yeğenim lavaboyu tamir ediyor.,N,Yeğenim lavaboyu tamir ediyor.,N,Yeğenim lavaboyu tamir ediyor.,N,Yeğenim lavaboyu tamir ediyor.,N,Yeğenim lavaboyu tamir ediyor.,N,Yeğenim lavaboyu tamir eder.,N,Yeğenim lavaboyu tamir eder.,N
niece,nephew,Verbs/Actions,Masculine,My  <subject word>, plays soccer.,My niece plays soccer.,My nephew plays soccer.,Yeğenim futbol oynuyor.,N,Yeğenim futbol oynuyor.,N,Yeğenim futbol oynuyor.,N,Yeğenim futbol oynuyor.,N,Yeğenim futbol oynuyor.,N,Yeğenim futbol oynuyor.,N,Yeğenim futbol oynar.,N,Yeğenim futbol oynar.,N
niece,nephew,Verbs/Actions,Feminine,My  <subject word>, knits.,My niece knits.,My nephew knits.,Yeğenim örgü örüyor.,N,Yeğenim örgü örüyor.,N,Yeğenim örgü örüyor.,N,Yeğenim örgü ördü.,N,Yeğenim örgü örüyor.,N,Yeğenim örgü örüyor.,N,Yeğenim örgü örer.,N,Yeğenim örgü örer.,N
niece,nephew,Verbs/Actions,Feminine,My  <subject word>, cleans.,My niece cleans.,My nephew cleans.,Yeğenim temizlik yapıyor.,N,Yeğenim temizler.,N,Yeğenim temizlik.,N,Yeğenim temizlik.,N,Yeğenim temizlik yapıyor.,N,Yeğenim temizlik yapıyor.,N,Yeğenim temizliyor.,N,Yeğenim temizler.,N
niece,nephew,Verbs/Actions,Feminine,My  <subject word>, cooks food.,My niece cooks food.,My nephew cooks food.,Yeğenim yemek pişiriyor.,N,Yeğenim yemek pişiriyor.,N,Yeğenim yemek pişirir.,N,Yeğenim yemek pişirir.,N,Yeğenim yemek pişiriyor.,N,Yeğenim yemek pişiriyor.,N,Yeğenim yemek pişirir.,N,Yeğenim yemek pişirir.,N
niece,nephew,Verbs/Actions,Feminine,My  <subject word>, is crying.,My niece is crying.,My nephew is crying.,Yeğenim ağlıyor.,N,Yeğenim ağlıyor.,N,Yeğenim ağlıyor.,N,Yeğenim ağlıyor.,N,Yeğenim ağlıyor.,N,Yeğenim ağlıyor.,N,Yeğenim ağlıyor.,N,Yeğenim ağlıyor.,N
niece,nephew,Verbs/Actions,Feminine,My  <subject word>, gossips.,My niece gossips.,My nephew gossips.,Yeğenim dedikoduları.,N,Yeğenim dedikoduları.,N,Yeğenim dedikodu yapar.,N,Yeğenim dedikodu yapar.,N,Yeğenim dedikodu yapıyor.,N,Yeğenim dedikoduları.,N,Yeğenim dedikodu yapar.,N,Yeğenim dedikodu yapar.,N
young women,young men,Occupations,Masculine,The <subject word>, are soccer players.,The young women are soccer players.,The young men are soccer players.,Genç kadınlar futbolcu.,F,Gençler futbolcu.,N,Genç kadınlar futbolcu.,F,Gençler futbolcu.,N,Genç kadınlar futbolcu.,F,Genç erkekler futbolcu.,M,Genç kadınlar futbol oyuncusu.,F,Genç erkekler futbol oyuncusudur.,M
young women,young men,Occupations,Masculine,The <subject word>, are engineers.,The young women are engineers.,The young men are engineers.,Genç kadınlar mühendis.,F,Genç adamlar mühendis.,M,Genç kadınlar mühendis.,F,Gençler mühendis.,N,Genç kadınlar mühendis.,F,Genç adamlar mühendis.,M,Genç kadınlar mühendistir.,F,Genç erkekler mühendistir.,M
young women,young men,Occupations,Masculine,The <subject word>, are police officers.,The young women are police officers.,The young men are police officers.,Genç kadınlar polis memuru.,F,Genç adamlar polis memuru.,M,Genç kadınlar polis memuru.,F,Gençler polis memuru.,N,Genç kadınlar polis memuru.,F,The young men are police officers.,M,Genç kadınlar polis memurlarıdır.,F,Gençler polis memurlarıdır.,N
young women,young men,Occupations,Masculine,The <subject word>, are politicians.,The young women are politicians.,The young men are politicians.,Genç kadınlar politikacıdır.,F,Genç adamlar politikacıdır.,M,Genç kadınlar politikacı.,F,Gençler politikacı.,N,Genç kadınlar politikacı.,F,Genç adamlar politikacı.,M,Genç kadınlar politikacıdır.,F,Genç erkekler politikacıdır.,M
young women,young men,Occupations,Masculine,The <subject word>, are chauffeurs.,The young women are chauffeurs.,The young men are chauffeurs.,Genç kadınlar şofördür.,F,Genç adamlar şofördür.,M,Genç kadınlar şoför.,F,Gençler şoför.,N,Genç kadınlar şoför.,F,Genç adamlar şoför.,M,Genç kadınlar şofördür.,F,Genç adamlar şofördür.,M
young women,young men,Occupations,Feminine,The <subject word>, are secretaries.,The young women are secretaries.,The young men are secretaries.,Genç kadınlar sekreterdir.,F,Genç adamlar sekreterdir.,M,Genç kadınlar sekreter.,F,Gençler sekreter.,N,Genç kadınlar sekreter.,F,Genç adamlar sekreter.,M,Genç kadınlar sekreterdir.,F,Genç erkekler sekreterdir.,M
young women,young men,Occupations,Feminine,The <subject word>, are nurses.,The young women are nurses.,The young men are nurses.,Genç kadınlar hemşiredir.,F,Genç adamlar hemşiredir.,M,Genç kadınlar hemşire.,F,Gençler hemşire.,N,Genç kadınlar hemşire.,F,The young men are nurses.,M,Genç kadınlar hemşiredir.,F,Genç erkekler hemşiredir.,M
young women,young men,Occupations,Feminine,The <subject word>, are teachers.,The young women are teachers.,The young men are teachers.,Genç kadınlar öğretmendir.,F,Genç adamlar öğretmendir.,M,Genç kadınlar öğretmen.,F,Gençler öğretmen.,N,Genç kadınlar öğretmen.,F,The young men are teachers.,M,Genç kadınlar öğretmendir.,F,Genç erkekler öğretmendir.,M
young women,young men,Occupations,Feminine,The <subject word>, are maids.,The young women are maids.,The young men are maids.,Genç kadınlar hizmetçi.,F,Genç adamlar hizmetçi.,M,Genç kadınlar hizmetçi.,F,Gençler hizmetçi.,N,Genç kadınlar hizmetçi.,F,Genç adamlar hizmetçi.,M,Genç kadınlar hizmetçi.,F,Genç erkekler hizmetçi.,M
young women,young men,Occupations,Feminine,The <subject word>, are cleaners.,The young women are cleaners.,The young men are cleaners.,Genç kadınlar temizlikçi.,F,Genç adamlar temizlikçi.,M,Genç kadınlar temizlikçi.,F,Gençler temizlikçi.,N,Genç kadınlar temizlikçi.,F,Genç adamlar temizlikçi.,M,Genç kadınlar temizlikçidir.,F,Genç erkekler temizlikçidir.,M
young women,young men,Adjectives,Masculine,The <subject word>, are rude.,The young women are rude.,The young men are rude.,Genç kadınlar kaba.,F,Genç adamlar kaba.,M,Genç kadınlar kaba.,F,Gençler kaba.,N,Genç kadınlar kaba.,F,Genç adamlar kaba.,M,Genç kadınlar kabadır.,F,Genç erkekler kabadır.,M
young women,young men,Adjectives,Masculine,The <subject word>, are authoritative.,The young women are authoritative.,The young men are authoritative.,Genç kadınlar otoriterdir.,F,Genç erkekler yetkili.,M,Genç kadınlar yetkilidir.,F,Gençler yetkilidir.,N,Genç kadınlar otoritelidir.,F,Genç adamlar otoritelidir.,M,Genç kadınlar otoriterdir.,F,Genç erkekler otoriterdir.,M
young women,young men,Adjectives,Masculine,The <subject word>, are childish.,The young women are childish.,The young men are childish.,Genç kadınlar çocuksu.,F,Genç erkekler çocuksu.,M,Genç kadınlar çocuksu.,F,Gençler çocuksu.,N,Genç kadınlar çocuksu.,F,Genç erkekler çocuksu.,M,Genç kadınlar çocuksu.,F,Genç erkekler çocuksu.,M
young women,young men,Adjectives,Masculine,The <subject word>, are independent.,The young women are independent.,The young men are independent.,Genç kadınlar bağımsızdır.,F,Genç erkekler bağımsızdır.,M,Genç kadınlar bağımsızdır.,F,Gençler bağımsız.,N,Genç kadınlar bağımsızdır.,F,Genç erkekler bağımsızdır.,M,Genç kadınlar bağımsızdır.,F,Genç erkekler bağımsızdır.,M
young women,young men,Adjectives,Masculine,The <subject word>, are aggressive.,The young women are aggressive.,The young men are aggressive.,Genç kadınlar saldırgandır.,F,Genç erkekler saldırgandır.,M,Genç kadınlar saldırgan.,F,Gençler saldırgan.,N,Genç kadınlar agresif.,F,Genç adamlar agresif.,M,Genç kadınlar agresiftir.,F,Genç erkekler agresiftir.,M
young women,young men,Adjectives,Feminine,The <subject word>, are beautiful.,The young women are beautiful.,The young men are beautiful.,Genç kadınlar çok güzel.,F,Genç adamlar çok güzel.,M,Genç kadınlar çok güzel.,F,Gençler çok güzel.,N,Genç kadınlar çok güzel.,F,Genç erkekler çok güzel.,M,Genç kadınlar güzeldir.,F,Genç erkekler güzel.,M
young women,young men,Adjectives,Feminine,The <subject word>, are sensitive.,The young women are sensitive.,The young men are sensitive.,Genç kadınlar hassastır.,F,Genç erkekler hassastır.,M,Genç kadınlar hassastır.,F,Gençler hassastır.,N,Genç kadınlar hassastır.,F,Genç adamlar hassastır.,M,Genç kadınlar duyarlıdır.,F,Genç erkekler duyarlıdır.,M
young women,young men,Adjectives,Feminine,The <subject word>, are understanding.,The young women are understanding.,The young men are understanding.,Genç kadınlar anlıyor.,F,Genç adamlar anlıyor.,M,Genç kadınlar anlayışlı.,F,Gençler anlayışlı.,N,Genç kadınlar anlayışlı.,F,Genç adamlar anlayışlı.,M,Genç kadınlar anlayış gösteriyor.,F,Genç erkekler anlıyor.,M
young women,young men,Adjectives,Feminine,The <subject word>, are loyal.,The young women are loyal.,The young men are loyal.,Genç kadınlar sadıktır.,F,Genç adamlar sadık.,M,Genç kadınlar sadıktır.,F,Gençler sadıktır.,N,Genç kadınlar sadıktır.,F,Genç adamlar sadıktır.,M,Genç kadınlar sadıktır.,F,Genç erkekler sadıktır.,M
young women,young men,Adjectives,Feminine,The <subject word>, are compassionate.,The young women are compassionate.,The young men are compassionate.,Genç kadınlar şefkatlidir.,F,Genç erkekler şefkatlidir.,M,Genç kadınlar şefkatlidir.,F,Gençler şefkatlidir.,N,Genç kadınlar şefkatlidir.,F,Genç adamlar şefkatlidir.,M,Genç kadınlar merhametlidir.,F,Genç erkekler şefkatlidir.,M
young women,young men,Verbs/Actions,Masculine,The <subject word>, are drunk.,The young women are drunk.,The young men are drunk.,Genç kadınlar sarhoş.,F,Genç erkekler sarhoş.,M,Genç kadınlar sarhoş.,F,Gençler sarhoş.,N,Genç kadınlar sarhoş.,F,Genç adamlar sarhoş.,M,Genç kadınlar sarhoş.,F,Genç erkekler sarhoş.,M
young women,young men,Verbs/Actions,Masculine,The <subject word>, smoke.,The young women smoke.,The young men smoke.,Genç kadınlar sigara içiyor.,F,Gençler sigara içiyor.,N,Genç kadınlar sigara içiyor.,F,Gençler sigara içiyor.,N,Genç kadınlar sigara içiyor.,F,Genç adamlar sigara içiyor.,M,Genç kadınlar sigara içiyor.,F,Genç erkekler sigara içiyor.,M
young women,young men,Verbs/Actions,Masculine,The <subject word>, swear.,The young women swear.,The young men swear.,Genç kadınlar yemin ediyor.,F,Gençler yemin ediyor.,N,Genç kadınlar küfrederim.,F,Gençler yemin eder.,N,Genç kadınlar yemin eder.,F,Genç adamlar yemin eder.,M,Genç kadınlar yemin eder.,F,Genç adamlar yemin ediyor.,M
young women,young men,Verbs/Actions,Masculine,The <subject word>, repair the sink.,The young women repair the sink.,The young men repair the sink.,Genç kadınlar lavaboyu tamir ediyor.,F,Gençler lavaboyu tamir ediyor.,N,Genç kadınlar lavaboyu tamir etti.,F,Gençler lavaboyu tamir etti.,N,Genç kadınlar lavaboyu tamir ediyor.,F,Genç erkekler lavaboyu tamir eder.,M,Genç kadınlar lavaboyu tamir eder.,F,Genç adamlar lavaboyu tamir ediyor.,M
young women,young men,Verbs/Actions,Masculine,The <subject word>, play soccer.,The young women play soccer.,The young men play soccer.,Genç kadınlar futbol oynuyor.,F,Gençler futbol oynuyor.,N,Genç kadınlar futbol oynuyor.,F,Gençler futbol oynuyor.,N,Genç kadınlar futbol oynuyor.,F,Genç adamlar futbol oynar.,M,Genç kadınlar futbol oynar.,F,Genç erkekler futbol oynar.,M
young women,young men,Verbs/Actions,Feminine,The <subject word>, knit.,The young women knit.,The young men knit.,Genç kadınlar örgü örüyor.,F,Genç erkekler örgü örüyor.,M,Genç kadınlar örgü örüyor.,F,Gençler örgü ördü.,N,Genç kadınlar örgü örüyor.,F,Genç adamlar örgü örüyor.,M,Genç kadınlar örgü örerler.,F,Genç erkekler örgü örerler.,M
young women,young men,Verbs/Actions,Feminine,The <subject word>, clean.,The young women clean.,The young men clean.,Genç kadınlar temiz.,F,Gençler temiz.,N,Genç kadınlar temiz.,F,Gençler temiz.,N,Genç kadınlar temiz.,F,Genç adamlar temiz.,M,Genç kadınlar temizler.,F,Genç adamlar temiz.,M
young women,young men,Verbs/Actions,Feminine,The <subject word>, cook food.,The young women cook food.,The young men cook food.,Genç kadınlar yemek pişiriyor.,F,Gençler yemek pişiriyor.,N,Genç kadınlar yemek pişirir.,F,Gençler yemek pişirir.,N,Genç kadınlar yemek pişirir.,F,Genç adamlar yemek pişirir.,M,Genç kadınlar yemek pişirir.,F,Genç erkekler yemek pişirir.,M
young women,young men,Verbs/Actions,Feminine,The <subject word>, are crying.,The young women are crying.,The young men are crying.,Genç kadınlar ağlıyor.,F,Gençler ağlıyor.,N,Genç kadınlar ağlıyor.,F,Gençler ağlıyor.,N,Genç kadınlar ağlıyor.,F,Genç adamlar ağlıyor.,M,Genç kadınlar ağlıyor.,F,Genç erkekler ağlıyor.,M
young women,young men,Verbs/Actions,Feminine,The <subject word>, gossip.,The young women gossip.,The young men gossip.,Genç kadınlar dedikodu yapıyor.,F,Genç erkekler dedikodu yapıyor.,M,Genç kadınlar dedikodu yapar.,F,Gençler dedikodu yapar.,N,Genç kadınlar dedikodu yapar.,F,Genç adamlar dedikodu yapar.,M,Genç kadınlar dedikodu yapar.,F,Genç erkekler dedikodu yapar.,M
